Date,Open,High,Low,Close,Adj Close,Volume
2010-12-02,227.399994,229.300003,224.949997,226.449997,213.624542,1755540
2010-12-03,226.500000,228.199997,221.500000,222.449997,209.851089,1511732
2010-12-06,227.000000,231.500000,225.500000,227.975006,215.063202,1812332
2010-12-07,229.949997,233.875000,228.850006,231.675003,218.553650,2249692
2010-12-08,230.024994,231.000000,227.000000,229.199997,216.218826,1171240
2010-12-09,230.500000,232.500000,218.175003,224.550003,211.832169,1857606
2010-12-10,226.250000,229.500000,218.600006,224.500000,211.785019,855188
2010-12-13,226.774994,227.500000,221.350006,225.750000,212.964218,1177454
2010-12-14,227.899994,229.449997,223.500000,226.225006,213.412308,1636232
2010-12-15,227.500000,228.550003,222.000000,223.225006,210.582230,694932
2010-12-16,225.000000,225.949997,220.625000,225.000000,212.256668,1061144
2010-12-20,226.699997,226.699997,220.500000,221.625000,209.072876,1002280
2010-12-21,220.000000,221.500000,211.500000,214.074997,201.950455,4454016
2010-12-22,217.750000,217.750000,215.000000,215.600006,203.389069,2116514
2010-12-23,217.250000,229.000000,215.550003,226.475006,213.648163,1990918
2010-12-24,221.500000,238.000000,221.500000,236.649994,223.246857,3160432
2010-12-27,237.000000,242.375000,237.000000,239.175003,225.628891,1332940
2010-12-28,237.750000,242.500000,235.324997,241.625000,227.940094,2234692
2010-12-29,242.500000,242.699997,238.300003,240.149994,226.548630,2009792
2010-12-30,242.500000,244.125000,236.600006,241.225006,227.562775,2085146
2010-12-31,242.399994,244.800003,239.524994,242.475006,228.741928,1544020
2011-01-03,247.500000,247.500000,242.475006,243.649994,229.850388,902034
2011-01-04,243.500000,246.000000,241.074997,244.949997,231.076813,1572686
2011-01-05,245.750000,250.000000,242.574997,244.024994,230.204178,1925424
2011-01-06,245.000000,251.500000,244.500000,250.000000,235.840775,1458314
2011-01-07,251.250000,255.875000,243.449997,246.675003,232.704056,2635206
2011-01-10,247.199997,248.000000,236.824997,238.500000,224.992081,1666680
2011-01-11,236.524994,249.500000,234.000000,237.899994,224.426071,1573020
2011-01-12,238.649994,244.199997,230.699997,242.625000,228.883453,1608252
2011-01-13,240.500000,243.975006,237.074997,241.550003,227.869339,1721388
2011-01-14,242.699997,249.074997,235.000000,237.399994,223.954391,1246698
2011-01-17,237.500000,242.000000,231.574997,232.699997,219.520554,1128790
2011-01-18,233.000000,243.925003,233.000000,242.175003,228.458984,1368432
2011-01-19,242.649994,244.500000,235.225006,242.225006,228.506134,3230998
